Age,Ethnicity
25,Asian
19,Asian
24,Asian
19,Caucassian
21,African-American
23,Caucassian
18,Asian
19,Asian
19,Caucassian
18,Asian
24,Asian
19,Latina
27,Asian
21,Caucassian
20,Caucassian
21,Caucassian
27,Asian
18,Caucassian
20,Caucassian
21,Latina
19,Latina
23,Latina
20,Caucassian
21,Caucassian
18,Asian
18,Caucassian
27,Caucassian
18,Caucassian
20,Asian
18,Latina
23,Caucassian
21,Latina
21,Latina
19,Asian
19,Caucassian
19,Latina
22,Latina
18,African-American
20,Caucassian
21,Caucassian
20,Asian
22,Caucassian
19,Caucassian
18,Latina
23,Latina
27,African-American
24,Caucassian
22,Caucassian
19,Asian
18,Caucassian
28,Latina
21,Asian
